1F600	😀	嘿嘿	grinning face	笑脸与情感	1.0	嘿嘿 grinning face 笑脸与情感 Smileys & Emotion face-smiling 1F600 U+1F600 笑脸 脸 高兴 cheerful cheery grin happy laugh nice smile smiling teeth	apple
1F603	😃	哈哈	grinning face with big eyes	笑脸与情感	0.6	哈哈 grinning face with big eyes 笑脸与情感 Smileys & Emotion face-smiling 1F603 U+1F603 太棒了 开口笑 开口笑脸 笑脸 脸 高兴 awesome grin happy mouth open smile smiling teeth yay	apple
1F604	😄	大笑	grinning face with smiling eyes	笑脸与情感	0.6	大笑 grinning face with smiling eyes 笑脸与情感 Smileys & Emotion face-smiling 1F604 U+1F604 哈哈 开口而笑的脸 开心 笑 脸 露齿而笑 高兴 eye grin happy laugh lol mouth open smile	apple
1F601	😁	嘻嘻	beaming face with smiling eyes	笑脸与情感	0.6	嘻嘻 beaming face with smiling eyes 笑脸与情感 Smileys & Emotion face-smiling 1F601 U+1F601 笑脸 笑颜 脸 露齿而笑 eye grin grinning happy nice smile teeth	apple
1F606	😆	斜眼笑	grinning squinting face	笑脸与情感	0.6	斜眼笑 grinning squinting face 笑脸与情感 Smileys & Emotion face-smiling 1F606 U+1F606 lol 咧嘴笑 哈哈 开心 眯眼 眯眼大笑 笑 脸 高兴 closed eyes haha hahaha happy laugh mouth open rofl smile smiling	apple
1F605	😅	苦笑	grinning face with sweat	笑脸与情感	0.6	苦笑 grinning face with sweat 笑脸与情感 Smileys & Emotion face-smiling 1F605 U+1F605 冷汗 出汗 开口冒冷汗的脸 汗 泄气 紧张 脸 cold dejected excited mouth nervous open smile smiling stress stressed	apple
1F923	🤣	笑得满地打滚	rolling on the floor laughing	笑脸与情感	3.0	笑得满地打滚 rolling on the floor laughing 笑脸与情感 Smileys & Emotion face-smiling 1F923 U+1F923 lolol 乐翻了 哈哈 地板 太扯了 打滚 满地打滚的笑 笑 笑得流泪 脸 超扯 crying face funny haha happy hehe hilarious joy laugh lmao lol rofl roflmao tear	apple
1F602	😂	笑哭了	face with tears of joy	笑脸与情感	0.6	笑哭了 face with tears of joy 笑脸与情感 Smileys & Emotion face-smiling 1F602 U+1F602 lol 喜极而泣 大笑 眼泪 笑 笑哭 脸 crying feels funny haha happy hehe hilarious laugh lmao rofl roflmao tear	apple
1F642	🙂	呵呵	slightly smiling face	笑脸与情感	1.0	呵呵 slightly smiling face 笑脸与情感 Smileys & Emotion face-smiling 1F642 U+1F642 开心 浅笑的脸 笑 脸 happy smile	apple
1F643	🙃	倒脸	upside-down face	笑脸与情感	1.0	倒脸 upside-down face 笑脸与情感 Smileys & Emotion face-smiling 1F643 U+1F643 好玩 好笑 脸 颠倒 颠倒的脸 hehe smile	apple
1FAE0	🫠	融化	melting face	笑脸与情感	14.0	融化 melting face 笑脸与情感 Smileys & Emotion face-smiling 1FAE0 U+1FAE0 冷笑 哈哈 尴尬 微笑 消失 液体 溶解 热 disappear dissolve embarrassed haha heat hot liquid lol melt sarcasm sarcastic	apple
1FAEB	🫫	裂开	cracking face	笑脸与情感	18.0	裂开 cracking face 笑脸与情感 Smileys & Emotion face-smiling 1FAEB U+1FAEB 打破 掩饰 瓦解 紧张 蜕变 透露 韧性 breaking crumbling masking resilience reveal tension transformation	noto
1F609	😉	眨眼	winking face	笑脸与情感	0.6	眨眼 winking face 笑脸与情感 Smileys & Emotion face-smiling 1F609 U+1F609 媚眼 撩拨 眨眼的脸 笑 脸 flirt heartbreaker sexy slide tease wink winks	apple
1F60A	😊	羞涩微笑	smiling face with smiling eyes	笑脸与情感	0.6	羞涩微笑 smiling face with eyes 笑脸与情感 Smileys & Emotion face-smiling 1F60A U+1F60A 害羞 微笑 满意 笑脸相迎 羞涩 脸 脸红 blush eye glad satisfied smile	apple
1F607	😇	微笑天使	smiling face with halo	笑脸与情感	1.0	微笑天使 smiling face with halo 笑脸与情感 Smileys & Emotion face-smiling 1F607 U+1F607 光环 天使 天真 幻想 微笑 脸 顶罩光环的笑脸 angel angelic angels blessed fairy fairytale fantasy happy innocent peaceful smile spirit tale	apple
1F970	🥰	喜笑颜开	smiling face with hearts	笑脸与情感	11.0	喜笑颜开 smiling face with hearts 笑脸与情感 Smileys & Emotion face-affection 1F970 U+1F970 三颗爱心的笑脸 心 我爱你 爱慕 相爱 笑脸 迷恋 陷入爱河 3 adore crush heart ily love romance smile you	apple
1F60D	😍	花痴	smiling face with heart-eyes	笑脸与情感	0.6	花痴 smiling face with heart-eyes 笑脸与情感 Smileys & Emotion face-affection 1F60D U+1F60D 我爱你 爱 红心 脸 143 bae eye feels hearts ily kisses love romance romantic smile xoxo	apple
1F929	🤩	好崇拜哦	star-struck	笑脸与情感	5.0	好崇拜哦 star-struck 笑脸与情感 Smileys & Emotion face-affection 1F929 U+1F929 兴奋 咧嘴笑 满天星 满眼星 脸 追星族 露齿笑 excited eyes face grinning smile star starry-eyed wow	apple
1F618	😘	飞吻	face blowing a kiss	笑脸与情感	0.6	飞吻 face blowing a kiss 笑脸与情感 Smileys & Emotion face-affection 1F618 U+1F618 亲亲 想你 我爱你 眨眼 脸 adorbs bae flirt heart ily love lover miss muah romantic smooch xoxo you	apple
1F617	😗	亲亲	kissing face	笑脸与情感	1.0	亲亲 kissing face 笑脸与情感 Smileys & Emotion face-affection 1F617 U+1F617 亲吻 吻 脸 143 date dating flirt ily kiss love smooch smooches xoxo you	apple
263A-FE0F	☺️	微笑	smiling face	笑脸与情感	0.6	微笑 smiling face 笑脸与情感 Smileys & Emotion face-affection 263A-FE0F 263A FE0F U+263A U+FE0F 呵呵 开心 放松 笑 脸 happy outlined relaxed smile	apple
1F61A	😚	羞涩亲亲	kissing face with closed eyes	笑脸与情感	0.6	羞涩亲亲 kissing face with closed eyes 笑脸与情感 Smileys & Emotion face-affection 1F61A U+1F61A 亲亲 吻 我爱你 羞涩 脸 闭眼 闭眼亲吻 143 bae blush date dating eye flirt ily kisses smooches xoxo	apple
1F619	😙	微笑亲亲	kissing face with smiling eyes	笑脸与情感	1.0	微笑亲亲 kissing face with smiling eyes 笑脸与情感 Smileys & Emotion face-affection 1F619 U+1F619 亲亲 吻 微笑 笑颜亲吻 脸 143 closed date dating eye flirt ily kiss kisses love night smile	apple
1F972	🥲	含泪的笑脸	smiling face with tear	笑脸与情感	13.0	含泪的笑脸 smiling face with tear 笑脸与情感 Smileys & Emotion face-affection 1F972 U+1F972 喜悦 喜极而泣 幸福 微笑 微笑的 感动 感动的 感恩的 感激 眼泪 笑中带泪 笑脸 自豪 苦中作乐 释怀的 骄傲的 glad grateful happy joy pain proud relieved smile smiley touched	apple
1F60B	😋	好吃	face savoring food	笑脸与情感	0.6	好吃 face savoring food 笑脸与情感 Smileys & Emotion face-tongue 1F60B U+1F60B 口水 哈喇子 津津有味 流口水 美味 脸 delicious eat full hungry savor smile smiling tasty um yum yummy	apple
